"il","neden","gelen_sayi","giden_sayi","net_goc"
"Bolu","Eğitim Education",4628,3109,1519
"Bolu","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2320,2094,226
"Bolu","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2572,2140,432
"Bolu","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",142,358,-216
"Bolu","Sağlık / bakım Health / care",88,80,8
"Bolu","Ev alınması Buying a house",391,358,33
"Bolu","Emeklilik Retirement",80,56,24
"Bolu","Diğer Other",180,172,8
"Bolu","Bilinmeyen Unknown",681,1433,-752
"Burdur","Tayin / iş değişikliği Assignation / change of job",1042,1131,-89
"Burdur","İşe başlamak / iş bulmak Starting / finding a job",778,1737,-959
"Burdur","Eğitim Education",4737,2828,1909
"Burdur","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1278,2080,-802
"Burdur","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",1978,2318,-340
"Burdur","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",449,429,20
"Burdur","Sağlık / bakım Health / care",145,95,50
"Burdur","Ev alınması Buying a house",143,513,-370
"Burdur","Emeklilik Retirement",56,81,-25
"Burdur","Diğer Other",164,198,-34
"Burdur","Bilinmeyen Unknown",526,1616,-1090
"Bursa","Tayin / iş değişikliği Assignation / change of job",9384,5965,3419
"Bursa","İşe başlamak / iş bulmak Starting / finding a job",8773,4754,4019
"Bursa","Eğitim Education",10453,16837,-6384
"Bursa","Daha iyi konut ve yaşam koşulları Better housing and living conditions",16000,11777,4223
"Bursa","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",18834,12319,6515
"Bursa","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",520,3302,-2782
"Bursa","Sağlık / bakım Health / care",541,368,173
"Bursa","Ev alınması Buying a house",2413,1491,922
"Bursa","Emeklilik Retirement",421,379,42
"Bursa","Diğer Other",928,1137,-209
"Bursa","Bilinmeyen Unknown",7708,3933,3775
"Çanakkale","Tayin / iş değişikliği Assignation / change of job",2638,2198,440
"Çanakkale","İşe başlamak / iş bulmak Starting / finding a job",1608,2266,-658
"Çanakkale","Eğitim Education",6217,4227,1990
"Çanakkale","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3846,3515,331
"Çanakkale","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",5223,3740,1483
"Çanakkale","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",443,665,-222
"Çanakkale","Sağlık / bakım Health / care",165,180,-15
"Çanakkale","Ev alınması Buying a house",1163,617,546
"Çanakkale","Emeklilik Retirement",322,113,209
"Çanakkale","Diğer Other",400,252,148
"Çanakkale","Bilinmeyen Unknown",1370,2478,-1108
"Çankırı","Tayin / iş değişikliği Assignation / change of job",1027,1518,-491
"Çankırı","İşe başlamak / iş bulmak Starting / finding a job",933,1464,-531
"Çankırı","Eğitim Education",2710,2022,688
"Çankırı","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1509,5157,-3648
"Çankırı","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",2585,4434,-1849
"Çankırı","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1280,397,883
"Çankırı","Sağlık / bakım Health / care",128,135,-7
"Çankırı","Ev alınması Buying a house",481,1788,-1307
"Çankırı","Emeklilik Retirement",275,143,132
"Çankırı","Diğer Other",1133,172,961
"Çankırı","Bilinmeyen Unknown",452,984,-532
"Çorum","Tayin / iş değişikliği Assignation / change of job",1651,2081,-430
"Çorum","İşe başlamak / iş bulmak Starting / finding a job",1079,2065,-986
"Çorum","Eğitim Education",3520,4006,-486
"Çorum","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3060,5079,-2019
"Çorum","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3141,4882,-1741
"Çorum","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1106,553,553
"Çorum","Sağlık / bakım Health / care",83,215,-132
"Çorum","Ev alınması Buying a house",489,1439,-950
"Çorum","Emeklilik Retirement",130,134,-4
"Çorum","Diğer Other",243,416,-173
"Çorum","Bilinmeyen Unknown",1179,1154,25
"Denizli","Tayin / iş değişikliği Assignation / change of job",2929,2276,653
"Denizli","İşe başlamak / iş bulmak Starting / finding a job",2339,2102,237
"Denizli","Eğitim Education",5546,5977,-431
"Denizli","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3736,4018,-282
"Denizli","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",5231,4445,786
"Denizli","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",377,1286,-909
