"il","neden","gelen_sayi","giden_sayi","net_goc"
"Iğdır","Emeklilik Retirement",15,43,-28
"Iğdır","Diğer Other",94,213,-119
"Iğdır","Bilinmeyen Unknown",494,728,-234
"Yalova","Tayin / iş değişikliği Assignation / change of job",1382,1030,352
"Yalova","İşe başlamak / iş bulmak Starting / finding a job",2130,1056,1074
"Yalova","Eğitim Education",2675,2214,461
"Yalova","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2818,2991,-173
"Yalova","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",4750,2625,2125
"Yalova","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",402,479,-77
"Yalova","Sağlık / bakım Health / care",161,98,63
"Yalova","Ev alınması Buying a house",1029,617,412
"Yalova","Emeklilik Retirement",124,81,43
"Yalova","Diğer Other",311,245,66
"Yalova","Bilinmeyen Unknown",1029,1005,24
"Karabük","Tayin / iş değişikliği Assignation / change of job",808,1510,-702
"Karabük","İşe başlamak / iş bulmak Starting / finding a job",733,1811,-1078
"Karabük","Eğitim Education",3617,3053,564
"Karabük","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1876,2160,-284
"Karabük","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",1786,2169,-383
"Karabük","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",121,382,-261
"Karabük","Sağlık / bakım Health / care",55,93,-38
"Karabük","Ev alınması Buying a house",284,379,-95
"Karabük","Emeklilik Retirement",70,86,-16
"Karabük","Diğer Other",154,186,-32
"Karabük","Bilinmeyen Unknown",564,1641,-1077
"Kilis","Tayin / iş değişikliği Assignation / change of job",758,913,-155
"Kilis","İşe başlamak / iş bulmak Starting / finding a job",326,722,-396
"Kilis","Eğitim Education",2254,1574,680
"Kilis","Daha iyi konut ve yaşam koşulları Better housing and living conditions",1559,1303,256
"Kilis","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",1303,1573,-270
"Kilis","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",246,777,-531
"Kilis","Sağlık / bakım Health / care",11,27,-16
"Kilis","Ev alınması Buying a house",132,239,-107
"Kilis","Emeklilik Retirement",16,34,-18
"Kilis","Diğer Other",225,85,140
"Kilis","Bilinmeyen Unknown",361,394,-33
"Osmaniye","Tayin / iş değişikliği Assignation / change of job",2340,1951,389
"Osmaniye","İşe başlamak / iş bulmak Starting / finding a job",973,1463,-490
"Osmaniye","Eğitim Education",3733,5439,-1706
"Osmaniye","Daha iyi konut ve yaşam koşulları Better housing and living conditions",3703,3280,423
"Osmaniye","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",4033,4015,18
"Osmaniye","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",1780,1237,543
"Osmaniye","Sağlık / bakım Health / care",78,216,-138
"Osmaniye","Ev alınması Buying a house",396,386,10
"Osmaniye","Emeklilik Retirement",82,78,4
"Osmaniye","Diğer Other",238,413,-175
"Osmaniye","Bilinmeyen Unknown",1553,806,747
"Düzce","Tayin / iş değişikliği Assignation / change of job",1525,1279,246
"Düzce","İşe başlamak / iş bulmak Starting / finding a job",1126,1521,-395
"Düzce","Eğitim Education",3779,3016,763
"Düzce","Daha iyi konut ve yaşam koşulları Better housing and living conditions",2262,2296,-34
"Düzce","Hane / aile fertlerinden birine bağımlı göç Migration related to any member of the household / family",3473,2404,1069
"Düzce","Aile yanına / memlekete geri dönme(1) Returning to family home / hometown(1)",91,342,-251
"Düzce","Sağlık / bakım Health / care",85,75,10
"Düzce","Ev alınması Buying a house",636,345,291
"Düzce","Emeklilik Retirement",113,67,46
"Düzce","Diğer Other",203,191,12
"Düzce","Bilinmeyen Unknown",908,1234,-326
